datasize_list,bruck_mr,bruck_logmr,bruck_std,bruck_logstd,bisect_mr,bisect_logmr,bisect_std,bisect_logstd,ssdp_mr,ssdp_logmr,ssdp_std,ssdp_logstd,socp_mr,socp_logmr,socp_std,socp_logstd
5000,0,-Inf,0,NaN,67.0810941,1.82644217165775,1.91773979728775,0.0123135178987985,2.61846825,0.400906808946809,0.756654319467419,0.130409532170636,0.0802493,-1.10485834474418,0.0180537429190982,0.0934185907247949
10000,0,-Inf,0,NaN,68.84115391,1.83762526234718,2.35194976459311,0.0145815256725149,2.27207409,0.342983817231326,0.552780636563668,0.118614370928212,0.07544848,-1.12772841839619,0.0128526605400335,0.0710958618300178
15000,0,-Inf,0,NaN,58.35022168,1.76601839288908,0.648042547977702,0.00482510813050487,2.77949375,0.436415289521076,0.5523851002823,0.0848963243253886,0.06869132,-1.17264011290424,0.0155559630295695,0.0949662521309474
20000,0,-Inf,0,NaN,58.08478315,1.7640431051267,0.575082252937701,0.00431836431337252,2.86535532,0.420704160491582,1.31827707048171,0.183127102981933,0.07009456,-1.16496957565668,0.0156546360158687,0.104168253585042
25000,0,-Inf,0,NaN,57.24438119,1.75772212594272,0.423840516621758,0.0032212839551362,2.66107345,0.406271012327706,0.834616994657462,0.134718555284693,0.06922934,-1.16589062350211,0.0129325988994393,0.0753960270940891
30000,0,-Inf,0,NaN,58.04599583,1.76375215613061,0.590174538049002,0.00440044310968326,2.20171848,0.326040644655013,0.643872264795269,0.127239509571364,0.06820506,-1.17198263396251,0.0125405703023959,0.0725588527306956
35000,0,-Inf,0,NaN,57.51864056,1.75978456152524,0.641657019152667,0.00480452083303122,2.29637473,0.344432656787695,0.699277582924875,0.124349293553069,0.07136133,-1.15082432448013,0.0101066220095814,0.0658757065446688
40000,0,-Inf,0,NaN,57.52866718,1.75987321884336,0.435080451402745,0.00326587638471557,2.45955239,0.363762447600185,0.871779458409473,0.166580656454578,0.06956444,-1.16843060012971,0.0156400177640706,0.104826069916261
45000,0,-Inf,0,NaN,56.74331393,1.75390299342975,0.439224010530098,0.00336016604382722,2.46952872,0.38126275847857,0.628609488398983,0.102328322629111,0.02128274,-1.67199096099423,0.000207218490165975,0.00422403179037816
50000,0,-Inf,0,NaN,57.59198906,1.76032622516983,0.77802296845303,0.00589002032893674,2.36462649,0.361999864420805,0.582544706970954,0.106793130854347,0.02184283,-1.66072587005929,0.000291776223423972,0.0057893051503088
